"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 06 13:13:43 GMT 2025","Sun Apr 06 13:13:43 GMT 2025","727","webkit","e2e/loginTEST.spec.ts","","","","log in page 2",""
"passed","Sun Apr 06 13:13:22 GMT 2025","Sun Apr 06 13:13:23 GMT 2025","411","firefox","e2e/signup.spec.ts","","","","sign up page",""
"passed","Sun Apr 06 13:13:27 GMT 2025","Sun Apr 06 13:13:28 GMT 2025","674","firefox","tests-examples/demo-todo-app.spec.ts","Editing","","","should hide other controls when editing",""
"passed","Sun Apr 06 13:13:47 GMT 2025","Sun Apr 06 13:13:49 GMT 2025","1486","webkit","tests-examples/demo-todo-app.spec.ts","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Sun Apr 06 13:13:32 GMT 2025","Sun Apr 06 13:13:33 GMT 2025","946","firefox","tests-examples/demo-todo-app.spec.ts","Routing","","","should respect the back button",""
"passed","Sun Apr 06 13:13:19 GMT 2025","Sun Apr 06 13:13:21 GMT 2025","2247","firefox","e2e/example.spec.ts","","","","get started link",""
"passed","Sun Apr 06 13:13:16 GMT 2025","Sun Apr 06 13:13:16 GMT 2025","419","chromium","tests-examples/demo-todo-app.spec.ts","Clear completed button","","","should remove completed items when clicked",""
"passed","Sun Apr 06 13:13:49 GMT 2025","Sun Apr 06 13:13:50 GMT 2025","1538","webkit","tests-examples/demo-todo-app.spec.ts","Item","","","should allow me to un-mark items as complete",""
"passed","Sun Apr 06 13:13:16 GMT 2025","Sun Apr 06 13:13:16 GMT 2025","332","chromium","tests-examples/demo-todo-app.spec.ts","Counter","","","should display the current number of todo items",""
"passed","Sun Apr 06 13:13:26 GMT 2025","Sun Apr 06 13:13:26 GMT 2025","720","firefox","tests-examples/demo-todo-app.spec.ts","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Sun Apr 06 13:13:26 GMT 2025","Sun Apr 06 13:13:27 GMT 2025","795","firefox","tests-examples/demo-todo-app.spec.ts","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Sun Apr 06 13:13:31 GMT 2025","Sun Apr 06 13:13:32 GMT 2025","1007","firefox","tests-examples/demo-todo-app.spec.ts","Persistence","","","should persist its data",""
"passed","Sun Apr 06 13:13:28 GMT 2025","Sun Apr 06 13:13:29 GMT 2025","746","firefox","tests-examples/demo-todo-app.spec.ts","Editing","","","should save edits on blur",""
"passed","Sun Apr 06 13:13:35 GMT 2025","Sun Apr 06 13:13:40 GMT 2025","4560","webkit","e2e/example.spec.ts","","","","has title FAILED",""
"passed","Sun Apr 06 13:13:48 GMT 2025","Sun Apr 06 13:13:50 GMT 2025","1698","webkit","tests-examples/demo-todo-app.spec.ts","Item","","","should allow me to mark items as complete",""
"passed","Sun Apr 06 13:13:15 GMT 2025","Sun Apr 06 13:13:16 GMT 2025","425","chromium","tests-examples/demo-todo-app.spec.ts","Editing","","","should remove the item if an empty text string was entered",""
"passed","Sun Apr 06 13:13:13 GMT 2025","Sun Apr 06 13:13:13 GMT 2025","298","chromium","tests-examples/demo-todo-app.spec.ts","New Todo","","","should clear text input field when an item is added",""
"passed","Sun Apr 06 13:13:17 GMT 2025","Sun Apr 06 13:13:18 GMT 2025","538","chromium","tests-examples/demo-todo-app.spec.ts","Routing","","","should allow me to display all items",""
"passed","Sun Apr 06 13:13:58 GMT 2025","Sun Apr 06 13:13:59 GMT 2025","1331","webkit","tests-examples/demo-todo-app.spec.ts","Routing","","","should allow me to display completed items",""
"passed","Sun Apr 06 13:13:43 GMT 2025","Sun Apr 06 13:13:44 GMT 2025","864","webkit","e2e/signup.spec.ts","","","","sign up page 2",""
