"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 27 22:32:18 GMT 2025","Thu Mar 27 22:32:19 GMT 2025","1125","chromium","e2e/example.spec.ts","","","","get started link",""
"passed","Thu Mar 27 22:32:20 GMT 2025","Thu Mar 27 22:32:20 GMT 2025","237","chromium","e2e/loginTEST.spec.ts","","","","log in page",""
"passed","Thu Mar 27 22:32:22 GMT 2025","Thu Mar 27 22:32:22 GMT 2025","732","firefox","tests-examples/demo-todo-app.spec.ts","Editing","","","should trim entered text",""
"passed","Thu Mar 27 22:32:08 GMT 2025","Thu Mar 27 22:32:09 GMT 2025","698","webkit","tests-examples/demo-todo-app.spec.ts","Counter","","","should display the current number of todo items",""
"passed","Thu Mar 27 22:32:10 GMT 2025","Thu Mar 27 22:32:11 GMT 2025","1079","webkit","tests-examples/demo-todo-app.spec.ts","Clear completed button","","","should be hidden when there are no items that are completed",""
"passed","Thu Mar 27 22:32:00 GMT 2025","Thu Mar 27 22:32:03 GMT 2025","2978","webkit","tests-examples/demo-todo-app.spec.ts","Mark all as completed","","","should allow me to mark all items as completed",""
"passed","Thu Mar 27 22:32:03 GMT 2025","Thu Mar 27 22:32:05 GMT 2025","1242","webkit","tests-examples/demo-todo-app.spec.ts","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Thu Mar 27 22:32:25 GMT 2025","Thu Mar 27 22:32:26 GMT 2025","712","firefox","tests-examples/demo-todo-app.spec.ts","Routing","","","should allow me to display completed items",""
"passed","Thu Mar 27 22:32:22 GMT 2025","Thu Mar 27 22:32:23 GMT 2025","380","chromium","tests-examples/demo-todo-app.spec.ts","Editing","","","should trim entered text",""
"passed","Thu Mar 27 22:32:24 GMT 2025","Thu Mar 27 22:32:25 GMT 2025","1000","firefox","tests-examples/demo-todo-app.spec.ts","Persistence","","","should persist its data",""
"passed","Thu Mar 27 22:32:12 GMT 2025","Thu Mar 27 22:32:14 GMT 2025","1258","webkit","tests-examples/demo-todo-app.spec.ts","Routing","","","should allow me to display all items",""
"passed","Thu Mar 27 22:32:01 GMT 2025","Thu Mar 27 22:32:04 GMT 2025","2630","webkit","tests-examples/demo-todo-app.spec.ts","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Thu Mar 27 22:32:20 GMT 2025","Thu Mar 27 22:32:21 GMT 2025","699","chromium","tests-examples/demo-todo-app.spec.ts","New Todo","","","should allow me to add todo items",""
"passed","Thu Mar 27 22:32:33 GMT 2025","Thu Mar 27 22:32:34 GMT 2025","600","webkit","e2e/signup.spec.ts","","","","sign up page",""
"passed","Thu Mar 27 22:32:25 GMT 2025","Thu Mar 27 22:32:26 GMT 2025","913","firefox","tests-examples/demo-todo-app.spec.ts","Routing","","","should respect the back button",""
"passed","Thu Mar 27 22:32:28 GMT 2025","Thu Mar 27 22:32:29 GMT 2025","665","firefox","tests-examples/demo-todo-app.spec.ts","Item","","","should allow me to un-mark items as complete",""
"passed","Thu Mar 27 22:32:26 GMT 2025","Thu Mar 27 22:32:27 GMT 2025","579","firefox","tests-examples/demo-todo-app.spec.ts","New Todo","","","should append new items to the bottom of the list",""
"passed","Thu Mar 27 22:32:22 GMT 2025","Thu Mar 27 22:32:22 GMT 2025","347","chromium","tests-examples/demo-todo-app.spec.ts","Editing","","","should hide other controls when editing",""
"passed","Thu Mar 27 22:32:27 GMT 2025","Thu Mar 27 22:32:28 GMT 2025","775","firefox","tests-examples/demo-todo-app.spec.ts","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Thu Mar 27 22:32:06 GMT 2025","Thu Mar 27 22:32:06 GMT 2025","852","webkit","tests-examples/demo-todo-app.spec.ts","Item","","","should allow me to edit an item",""
